uniqueid,org,manager,email,lastname,firstname,telephone,location   
cl10220,Services,lh9189,Cronan.Lavelle@openptk.com,Lavelle,Cronan,303-616-5566,loc35
sl11468,Information Systems,rb5068,Steve.Laws@openptk.com,Laws,Steve,303-834-0028,loc36
sl17189,Customer Relations,gm84036,Sinead.Layden.Daly@openptk.com,Layden Daly,Sinead,303-502-0269,loc37
dl9637,Customer Service,so65022,Delphine.Lazennec@openptk.com,Lazennec,Delphine,303-397-3939,loc38
el14716,Investment Banking,sh9168,Emma.Leahy@openptk.com,Leahy,Emma,303-516-6651,loc32
ml84043,Corporate Workplace,lr11655,Mark.Leneghan@openptk.com,Leneghan,Mark,303-915-7620,loc30
al80175,IT Compliance,rh6300,Aisling.Leonard@openptk.com,Leonard,Aisling,303-701-5957,loc37
pl10873,Credit,fm50746,Paula.Leonard@openptk.com,Leonard,Paula,303-163-6088,loc32
vl9943,IT Compliance,rh6300,Virginie.Leutwiler@openptk.com,Leutwiler,Virginie,303-728-6063,loc33
wl13581,Customer Service,dl9637,Wenrui.Li@openptk.com,Li,Wenrui,303-745-3937,loc34
wl58818,Services,lh9189,Wendy.Liu@openptk.com,Liu,Wendy,303-714-1763,loc35
dl67518,Investment Banking,sh9168,David.Lock@openptk.com,Lock,David,303-674-8284,loc38
rl10416,Investment Banking,sh9168,Richard.Long@openptk.com,Long,Richard,303-755-3006,loc37
cl17709,Legal,je61475,Caroline.Lowe@openptk.com,Lowe,Caroline,303-547-2508,loc38
dl80059,Customer Relations,lj39201,David.Lowe@openptk.com,Lowe,David,303-775-4791,loc39
jl39987,Customer Relations,gm84036,John.Lowry@openptk.com,Lowry,John,303-797-6368,loc31
dl30568,Credit,fm50746,Diarmuid.Lucey@openptk.com,Lucey,Diarmuid,303-561-9915,loc35
al6803,Information Systems,rb5068,Agnieszka.Ludwicka@openptk.com,Ludwicka,Agnieszka,303-932-0875,loc32
gl59994,Marketing,jm7605,Gerard.Lynam@openptk.com,Lynam,Gerard,303-195-7835,loc33
cl8132,Marketing,jm7605,Colin.Lynch@openptk.com,Lynch,Colin,303-589-1244,loc34
rl59912,Legal,je61475,Ros.Lynch@openptk.com,Lynch,Ros,303-635-9991,loc35
sl84384,Services,cg14655,Stephen.Lynch@openptk.com,Lynch,Stephen,303-201-7508,loc37
al21804,Benefits,dm11050,Adrian.Lyons@openptk.com,Lyons,Adrian,303-316-5351,loc38
km50469,Customer Relations,gm84036,Kerry.Mark.MacCarthy@openptk.com,MacCarthy,Kerry Mark,303-242-1415,loc39
nm81669,Corporate Workplace,nc6214,Nora.MacKey@openptk.com,MacKey,Nora,303-615-2433,loc30
mm14851,Marketing,jm7605,Mark.Mackin@openptk.com,Mackin,Mark,303-973-7891,loc31
jm60767,Information Systems,rb5068,Joan.MacNamara@openptk.com,MacNamara,Joan,303-767-8064,loc32
am6457,Credit,fm50746,Annick.Magermans@openptk.com,Magermans,Annick,303-513-3516,loc33
mm18491,Corporate Workplace,nc6214,Mary.Maginn@openptk.com,Maginn,Mary,303-316-3969,loc34
fm3611,Information Systems,rb5068,Frances.Maguire@openptk.com,Maguire,Frances,303-407-6939,loc35
nm64454,Mortgage,jb5392,Niamh.Mahon@openptk.com,Mahon,Niamh,303-976-9003,loc39
jm7605,Marketing,tb6035,John.Mahony@openptk.com,Mahony,John,303-235-6150,loc37
gm8144,Corporate Workplace,nc6214,Gerard.Manning@openptk.com,Manning,Gerard,303-138-5613,loc38
rm50388,Mortgage,ja1324,Rebecca.Manning@openptk.com,Manning,Rebecca,303-850-9653,loc39
cm20309,Corporate Workplace,dc30939,Carol.Mannion@openptk.com,Mannion,Carol,303-561-0290,loc30
lm80882,Customer Relations,gm84036,Lucy.Mansergh@openptk.com,Mansergh,Lucy,303-382-3420,loc31
sm59753,Services,cg14655,Stuart.Marshall@openptk.com,Marshall,Stuart,303-628-3813,loc32
em83863,Services,lh9189,Enda.Martin@openptk.com,Martin,Enda,303-127-2173,loc33
sm51683,Sales,aw89027,Shane.Martin@openptk.com,Martin,Shane,303-265-1574,loc34
dm14877,Customer Service,dl9637,Diane.Masterson@openptk.com,Masterson,Diane,303-405-3271,loc36
jm6630,Customer Relations,gm84036,Jocelyne.Mboyo@openptk.com,Mboyo,Jocelyne,303-412-2549,loc37
mm15647,Services,lh9189,Michael.Mc.Nally@openptk.com,Mc Nally,Michael,303-293-0141,loc35
cm6576,IT Compliance,rh6300,Claire.McAdam@openptk.com,McAdam,Claire,303-891-7097,loc34
fm50746,Credit,bb84946,Fergal.McAleavey@openptk.com,McAleavey,Fergal,303-412-0692,loc39
dm21673,Customer Relations,lj39201,Daniel.McBrien@openptk.com,McBrien,Daniel,303-585-7481,loc30
em14972,Sales,aw89027,Elizabeth.McCabe@openptk.com,McCabe,Elizabeth,303-583-8929,loc31
jm65529,Information Systems,rb5068,Joanne.McCabe@openptk.com,McCabe,Joanne,303-674-1497,loc32
em7603,Corporate Workplace,dc30939,Elaine.McCaffrey@openptk.com,McCaffrey,Elaine,303-593-4910,loc33
cm37324,Customer Relations,lj39201,Ciaran.McCarron@openptk.com,McCarron,Ciaran,303-766-5312,loc34
jm9860,Investment Banking,sh9168,John.McCarthy@openptk.com,McCarthy,John,303-734-0687,loc38
lm90064,Sales,aw89027,Louise.McCarthy@openptk.com,McCarthy,Louise,303-981-8347,loc36
nm9740,Sales,aw89027,Niamh.McCarthy@openptk.com,McCarthy,Niamh,303-204-5346,loc37
gm86645,Marketing,jm7605,Gerard.McConnell@openptk.com,McConnell,Gerard,303-783-2864,loc39
am65364,Legal,je61475,Ann.McCormack@openptk.com,McCormack,Ann,303-916-5144,loc39
jm19723,IT Compliance,rh6300,John.McCormack@openptk.com,McCormack,John,303-639-7758,loc30
km2264,Benefits,dm11050,Kevin.McCormack@openptk.com,McCormack,Kevin,303-866-4233,loc31
gm64093,Sales,aw89027,Gillian.McCreevey@openptk.com,McCreevey,Gillian,303-589-6607,loc32
jm18083,Marketing,jm7605,Joseph.McDonagh@openptk.com,McDonagh,Joseph,303-745-8919,loc33
wm20363,Customer Service,dl9637,William.McDonagh@openptk.com,McDonagh,William,303-465-0843,loc34
rm6134,Benefits,dm11050,Ronan.McElvaney@openptk.com,McElvaney,Ronan,303-301-4051,loc35
fm8440,Services,lh9189,Fiona.McGee@openptk.com,McGee,Fiona,303-517-5453,loc36
bm10332,IT Compliance,rh6300,Brendan.McGeever@openptk.com,McGeever,Brendan,303-601-4479,loc37
dm11050,Benefits,bb10310,Deirdre.McGinty@openptk.com,McGinty,Deirdre,303-276-6577,loc38
pm16650,Customer Service,dl9637,Patrick.McGloin@openptk.com,McGloin,Patrick,303-148-3362,loc39
nm6631,Information Systems,rb5068,Neil.McGowan@openptk.com,McGowan,Neil,303-108-6858,loc30
am1275,Information Systems,rb5068,Alythea.McGrath@openptk.com,McGrath,Alythea,303-863-0972,loc31
am31578,Benefits,dm11050,Antoinette.McGuinn@openptk.com,McGuinn,Antoinette,303-418-7353,loc32
lm83949,Benefits,dm11050,Louise.McGuirk@openptk.com,McGuirk,Louise,303-641-4837,loc35
fm68749,Services,lh9189,Feargal.McKenna@openptk.com,McKenna,Feargal,303-218-7476,loc33
jm67949,Services,cg14655,Joan.McLaughlin@openptk.com,McLaughlin,Joan,303-736-1472,loc34
cm10118,Credit,fm50746,Claire.McLoughlin@openptk.com,McLoughlin,Claire,303-370-2869,loc36
lm87170,Corporate Workplace,em66961,Louise.McMahon@openptk.com,McMahon,Louise,303-530-2640,loc37
mm68426,Legal,je61475,Michelle.McNamara@openptk.com,McNamara,Michelle,303-134-6454,loc38
pm10862,Services,cg14655,Patrick.McNamara@openptk.com,McNamara,Patrick,303-857-7997,loc39
rm11806,Customer Service,dl9637,Ross.McNamara@openptk.com,McNamara,Ross,303-685-4366,loc30
lm18850,Marketing,jm7605,Linda.McNevin@openptk.com,McNevin,Linda,303-432-6881,loc31
cm24400,Customer Service,dl9637,Conor.McNulty@openptk.com,McNulty,Conor,303-962-5410,loc32
mm10249,Corporate Workplace,dc30939,Michael.Meade@openptk.com,Meade,Michael,303-515-1429,loc33
rm823,Investment Banking,sh9168,Richard.Meehan@openptk.com,Meehan,Richard,303-544-1041,loc34
lm60815,Investment Banking,sh9168,Laura.Menton@openptk.com,Menton,Laura,303-382-1258,loc35
pm80161,IT Compliance,rh6300,Patricia.Mitchell@openptk.com,Mitchell,Patricia,303-977-6852,loc36
cm28701,IT Compliance,rh6300,Carmel.Molloy@openptk.com,Molloy,Carmel,303-103-4637,loc37
wm50736,Corporate Workplace,gm51383,Walter.Molloy@openptk.com,Molloy,Walter,303-431-6077,loc31
am23849,Corporate Workplace,nc6214,Anthony.Moloney@openptk.com,Moloney,Anthony,303-968-5015,loc34
nm11667,Marketing,jm7605,Neasa.Moloney@openptk.com,Moloney,Neasa,303-508-2151,loc30
fm19515,Customer Relations,lj39201,Fergal.Molony@openptk.com,Molony,Fergal,303-448-3205,loc31
bm20245,Marketing,jm7605,Bernardine.Mooney@openptk.com,Mooney,Bernardine,303-745-9932,loc32
lm63405,Information Systems,rb5068,Lorraine.Mooney@openptk.com,Mooney,Lorraine,303-344-7896,loc33
pm13714,IT Compliance,rh6300,Patrick.Mooney@openptk.com,Mooney,Patrick,303-705-8394,loc34
gm84036,Customer Relations,tb6035,Glen.Moore@openptk.com,Moore,Glen,303-915-4626,loc35
lm1666,Procurement,lm31932,Linda.Moore@openptk.com,Moore,Linda,303-125-9325,loc36
cm69544,Information Systems,rb5068,Colum.Moran@openptk.com,Moran,Colum,303-823-0086,loc37
cm83060,Credit,fm50746,Conor.Moran@openptk.com,Moran,Conor,303-958-8017,loc38
lm63711,Customer Relations,lj39201,Laura.Morgan@openptk.com,Morgan,Laura,303-949-8832,loc39
jm5999,Procurement,lm31932,John.Moriarty@openptk.com,Moriarty,John,303-605-3067,loc30
em66961,Corporate Workplace,co11173,Elaine.Morris@openptk.com,Morris,Elaine,303-927-0767,loc31
mm10396,Services,cg14655,Michael.Morris@openptk.com,Morris,Michael,303-837-6758,loc32
pm82550,Services,lh9189,Paul.Morris@openptk.com,Morris,Paul,303-458-5199,loc33
bm17749,Legal,je61475,Brian.Morrison@openptk.com,Morrison,Brian,303-683-7498,loc34
mm14641,Services,lh9189,Matthew.Mosse-Robinson@openptk.com,Mosse-Robinson,Matthew,303-465-7358,loc35
am84255,Marketing,jm7605,Aileen.Moylan@openptk.com,Moylan,Aileen,303-967-9388,loc36
em87896,Customer Relations,gm84036,Evelyn.Moyles@openptk.com,Moyles,Evelyn,303-723-8590,loc38
bm89726,Marketing,jm7605,Barry.Muldoon@openptk.com,Muldoon,Barry,303-537-7383,loc39
hm63573,Investment Banking,sh9168,Hannah.Mulhall@openptk.com,Mulhall,Hannah,303-189-5020,loc30
mm17754,Corporate Workplace,em66961,Margaret.Mulhall@openptk.com,Mulhall,Margaret,303-206-2981,loc31
gm51383,Corporate Workplace,co11173,Genevieve.Mullen@openptk.com,Mullen,Genevieve,303-582-8128,loc32
lm21434,Customer Relations,gm84036,Loretto.Mulligan@openptk.com,Mulligan,Loretto,303-607-2695,loc33
lm31932,Procurement,aa4427,Linda.Murdock@openptk.com,Murdock,Linda,303-149-8915,loc34
am12266,Benefits,dm11050,Aidan.Murphy@openptk.com,Murphy,Aidan,303-599-3142,loc35
gm81552,Customer Service,dl9637,Gillian.Murphy@openptk.com,Murphy,Gillian,303-663-3769,loc35
mm69899,Investment Banking,sh9168,Michelle.Murphy@openptk.com,Murphy,Michelle,303-779-2478,loc37
nm19685,Corporate Workplace,em66961,Naomi.Murphy@openptk.com,Murphy,Naomi,303-578-5860,loc38
pm17762,Corporate Workplace,em66961,Paula.Murphy@openptk.com,Murphy,Paula,303-707-9865,loc39
rm87378,Corporate Workplace,gm51383,Rachel.Murphy@openptk.com,Murphy,Rachel,303-370-8495,loc30
tm6459,Customer Service,dl9637,Tristan.Murphy@openptk.com,Murphy,Tristan,303-925-3985,loc34
wm10877,Sales,aw89027,Wesley.Murphy@openptk.com,Murphy,Wesley,303-129-2223,loc32
am37079,Customer Service,dl9637,Audrey.Murray@openptk.com,Murray,Audrey,303-731-2422,loc33
em81187,Corporate Workplace,gm51383,Eoin.Murray@openptk.com,Murray,Eoin,303-569-2327,loc34
fm59878,Information Systems,rb5068,Fiona.Murray@openptk.com,Murray,Fiona,303-491-0456,loc35
cm30440,Benefits,dm11050,Ciara.Myers@openptk.com,Myers,Ciara,303-317-6775,loc36
kn70072,Mortgage,jb5392,Karimi.Nash@openptk.com,Nash,Karimi,303-542-1230,loc37
jn64467,Customer Relations,lj39201,John.Naughton@openptk.com,Naughton,John,303-160-7848,loc38
sn51182,Marketing,jm7605,Stephen.Naughton@openptk.com,Naughton,Stephen,303-734-6350,loc39
pn80009,Services,lh9189,Paula.Nicoll@openptk.com,Nicoll,Paula,303-786-5639,loc30
en6216,Customer Service,dl9637,Enda.Nolan@openptk.com,Nolan,Enda,303-528-4244,loc31
vn82256,Information Systems,rb5068,Vanessa.Nugent@openptk.com,Nugent,Vanessa,303-712-2940,loc32
to5949,Marketing,jm7605,Thomas.O'Beirne@openptk.com,O'Beirne,Thomas,303-685-8585,loc33
to14167,Services,cg14655,Tom.O'Beirne@openptk.com,O'Beirne,Tom,303-671-6515,loc36
ko14909,Sales,aw89027,Kieran.O'Byrne@openptk.com,O'Byrne,Kieran,303-733-8281,loc35
ao30491,Corporate Workplace,nc6214,Aidan.O'Callaghan@openptk.com,O'Callaghan,Aidan,303-981-2968,loc36
mo4449,Investment Banking,sh9168,Maria.O'Callaghan@openptk.com,O'Callaghan,Maria,303-251-6291,loc37
po61789,Corporate Workplace,kc13254,Paul.O'Callaghan@openptk.com,O'Callaghan,Paul,303-677-6871,loc38
bo14970,Sales,aw89027,Bernadette.O'Connor@openptk.com,O'Connor,Bernadette,303-919-9647,loc39
co24564,Marketing,jm7605,Cathal.O'Connor@openptk.com,O'Connor,Cathal,303-666-6042,loc30
eo88554,Legal,je61475,Eimear.O'Connor@openptk.com,O'Connor,Eimear,303-579-9169,loc31
so65073,Customer Service,dl9637,Sean.O'Connor@openptk.com,O'Connor,Sean,303-749-8502,loc32
eo17932,Customer Relations,lj39201,Eamonn.O'Dea@openptk.com,O'Dea,Eamonn,303-270-7799,loc33
co89586,Corporate Workplace,lr11655,Ciaran.O'Donoghue@openptk.com,O'Donoghue,Ciaran,303-853-9756,loc34
go39190,Benefits,dm11050,Garrett.O'Donoghue@openptk.com,O'Donoghue,Garrett,303-631-4149,loc38
mo87841,Customer Service,dl9637,Marie.O'Donoghue@openptk.com,O'Donoghue,Marie,303-914-5507,loc36
po6586,Marketing,jm7605,Paul.O'Donoghue@openptk.com,O'Donoghue,Paul,303-730-3720,loc37
to19331,Services,lh9189,Thomas.O'Donoghue@openptk.com,O'Donoghue,Thomas,303-346-1841,loc37
ko17510,Services,cg14655,Kieran.O'Driscoll@openptk.com,O'Driscoll,Kieran,303-437-3732,loc39
go19813,Marketing,jm7605,Gemma.O'Farrell@openptk.com,O'Farrell,Gemma,303-525-2518,loc34
po60201,Marketing,jm7605,Paul.O'Farrell@openptk.com,O'Farrell,Paul,303-602-0565,loc35
do3238,Sales,aw89027,Denise.O'Flaherty@openptk.com,O'Flaherty,Denise,303-789-0859,loc32
so13796,Corporate Workplace,nc6214,Stephen.O'Flanagan@openptk.com,O'Flanagan,Stephen,303-722-7553,loc33
co38030,Customer Relations,lj39201,Cillin.O'Flynn@openptk.com,O'Flynn,Cillin,303-145-3720,loc34
fo18314,Customer Service,dl9637,Fintan.O'Hanlon@openptk.com,O'Hanlon,Fintan,303-435-0344,loc35
bo80022,Information Systems,rb5068,Brian.O'Kelly@openptk.com,O'Kelly,Brian,303-228-6771,loc36
jo18560,Corporate Workplace,dc30939,James.O'Leary@openptk.com,O'Leary,James,303-618-1795,loc37
ao15694,Customer Relations,gm84036,Anne.O'Mahony@openptk.com,O'Mahony,Anne,303-734-8856,loc38
bo7024,Investment Banking,sh9168,Barry.O'Malley@openptk.com,O'Malley,Barry,303-302-5179,loc39
ko50037,Marketing,jm7605,Keith.O'Malley@openptk.com,O'Malley,Keith,303-175-3509,loc30
ro28750,Corporate Workplace,lr11655,Rosaleen.O'Malley@openptk.com,O'Malley,Rosaleen,303-219-6784,loc39
co11173,Corporate Workplace,so65022,Cillian.O'Murchadha@openptk.com,O'Murchadha,Cillian,303-817-6174,loc32
co58488,Customer Relations,gm84036,Conor.O'Neill@openptk.com,O'Neill,Conor,303-728-3567,loc33
no23863,Credit,fm50746,Niamh.O'Neill@openptk.com,O'Neill,Niamh,303-804-7040,loc34
ro17782,Procurement,lm31932,Ronan.O'Neill@openptk.com,O'Neill,Ronan,303-198-4736,loc30
bo38928,IT Compliance,rh6300,Brian.O'Reilly@openptk.com,O'Reilly,Brian,303-206-4048,loc36
so65022,Corporate Executive,sa15346,Susan.O'Reilly@openptk.com,O'Reilly,Susan,303-191-5506,loc37
do20365,Investment Banking,sh9168,David.O'Riordan@openptk.com,O'Riordan,David,303-540-3514,loc38
co91633,Customer Relations,lj39201,Cormac.O'Rourke@openptk.com,O'Rourke,Cormac,303-841-7674,loc39
eo65403,Sales,aw89027,Emma.O'Shaughnessy@openptk.com,O'Shaughnessy,Emma,303-496-4467,loc31
co10398,Services,cg14655,Conor.O'Sullivan@openptk.com,O'Sullivan,Conor,303-995-3519,loc36
co8165,Sales,aw89027,Conleth.O'Toole@openptk.com,O'Toole,Conleth,303-337-9800,loc31
eo58821,Investment Banking,sh9168,Edward.O'Toole@openptk.com,O'Toole,Edward,303-800-9963,loc32
jo13153,Services,lh9189,Jemal.Omar@openptk.com,Omar,Jemal,303-201-9066,loc33
mo11482,Sales,aw89027,Michael.Samuel.Orr@openptk.com,Orr,Michael Samuel,303-200-3835,loc34
dp6453,Corporate Workplace,kc13254,Derek.Pender@openptk.com,Pender,Derek,303-681-4231,loc35
jp20288,Procurement,lm31932,James.Pender@openptk.com,Pender,James,303-215-5494,loc36
np8687,Procurement,lm31932,Nicole.Perez@openptk.com,Perez,Nicole,303-364-5945,loc37
mp14402,Mortgage,jb5392,Marta.Piatkowska@openptk.com,Piatkowska,Marta,303-758-0093,loc38
pp870,Procurement,lm31932,Pierre.Pillet@openptk.com,Pillet,Pierre,303-468-6535,loc39
lp16043,IT Compliance,rh6300,Luisa.Pillitu@openptk.com,Pillitu,Luisa,303-610-5538,loc30
sp7050,IT Compliance,rh6300,Stephen.Place@openptk.com,Place,Stephen,303-906-8441,loc31
np14327,Investment Banking,sh9168,Naomi.Prasad@openptk.com,Prasad,Naomi,303-312-5790,loc32
ep71523,Sales,aw89027,Emer.Prior@openptk.com,Prior,Emer,303-310-2158,loc33
pp14363,Mortgage,jb5392,Paulina.Przybyla@openptk.com,Przybyla,Paulina,303-743-0933,loc34
ap87358,Investment Banking,sh9168,Andrew.Pyne@openptk.com,Pyne,Andrew,303-691-5949,loc35
jq60744,IT Compliance,rh6300,Jenny.Quail@openptk.com,Quail,Jenny,303-644-6714,loc34
hq18497,Customer Service,dl9637,Helen.Quigley@openptk.com,Quigley,Helen,303-601-0202,loc37
bq60310,Benefits,dm11050,Brendan.Quinn@openptk.com,Quinn,Brendan,303-856-1448,loc38
cq84582,Sales,aw89027,Claire.Quinn@openptk.com,Quinn,Claire,303-732-4661,loc39
mq18094,Customer Relations,gm84036,Mary.Quinn@openptk.com,Quinn,Mary,303-316-7387,loc30
lq1112,IT Compliance,rh6300,Liliawei.Quirke@openptk.com,Quirke,Liliawei,303-739-5225,loc31
vr6959,IT Compliance,rh6300,Viktoria.Redey@openptk.com,Redey,Viktoria,303-660-2280,loc32
nr15202,IT Compliance,rh6300,Niamh.Redmond@openptk.com,Redmond,Niamh,303-863-8378,loc35
sr24509,Information Systems,rb5068,Sinead.Redmond@openptk.com,Redmond,Sinead,303-562-0790,loc33
gr84922,Credit,fm50746,Graham.Reid@openptk.com,Reid,Graham,303-449-6826,loc35
ar50414,Information Systems,rb5068,Alison.Reilly@openptk.com,Reilly,Alison,303-717-6946,loc36
ar9971,Customer Service,dl9637,Aine.Reynolds@openptk.com,Reynolds,Aine,303-375-8784,loc37
jr4705,Services,cg14655,Jens.Richter@openptk.com,Richter,Jens,303-318-3491,loc38
pr11799,Sales,aw89027,Patrick.Riddell@openptk.com,Riddell,Patrick,303-218-1093,loc39
sr30372,Corporate Workplace,nc6214,Shane.Riordan@openptk.com,Riordan,Shane,303-721-8387,loc30
fr80099,Legal,je61475,Frank.Robinson@openptk.com,Robinson,Frank,303-731-6096,loc31
pr13939,Corporate Workplace,dc30939,Patrick.Roche@openptk.com,Roche,Patrick,303-256-1775,loc32
kr9912,Marketing,jm7605,Keith.Rooney@openptk.com,Rooney,Keith,303-800-5566,loc33
fr13502,Procurement,lm31932,Fiona.Ross@openptk.com,Ross,Fiona,303-587-0633,loc34
lr11655,Corporate Workplace,co11173,Leah.Ruddock@openptk.com,Ruddock,Leah,303-669-7707,loc35
nr9360,Information Systems,rb5068,Niall.Ruddy@openptk.com,Ruddy,Niall,303-298-5958,loc36
dr14727,Credit,fm50746,Dawid.Rutkowski@openptk.com,Rutkowski,Dawid,303-620-0655,loc37
kr89434,Customer Relations,gm84036,Keith.Ryan@openptk.com,Ryan,Keith,303-674-2134,loc38
lr81762,Sales,aw89027,Liam.Ryan@openptk.com,Ryan,Liam,303-698-7257,loc39
mr50158,Investment Banking,sh9168,Marion.Ryan@openptk.com,Ryan,Marion,303-161-6836,loc30
as13920,Procurement,lm31932,Alexandra.Schaffner@openptk.com,Schaffner,Alexandra,303-523-8036,loc31
ms10631,Credit,fm50746,Mandy.Schneider@openptk.com,Schneider,Mandy,303-355-9582,loc32
ss14173,Services,cg14655,Sarah.Schoeppe@openptk.com,Schoeppe,Sarah,303-292-6332,loc35
as68456,Investment Banking,sh9168,Aoife.Scully@openptk.com,Scully,Aoife,303-213-8996,loc36
rs12153,Credit,fm50746,Rose.Seberry@openptk.com,Seberry,Rose,303-101-2103,loc37
ls82125,Corporate Workplace,em66961,Leona.Shanley@openptk.com,Shanley,Leona,303-901-3625,loc30
gs64439,Sales,aw89027,Graham.Sharkey@openptk.com,Sharkey,Graham,303-264-8023,loc39
js708,Investment Banking,sh9168,John.Silcox@openptk.com,Silcox,John,303-633-0862,loc30
ks6392,Credit,fm50746,Karol.Skiba@openptk.com,Skiba,Karol,303-266-5790,loc31
bs8506,Legal,je61475,Barry.Smith@openptk.com,Smith,Barry,303-643-4084,loc32
bs38009,Investment Banking,sh9168,Brian.Smith@openptk.com,Smith,Brian,303-140-2874,loc33
ks67124,Sales,aw89027,Kevin.Smith@openptk.com,Smith,Kevin,303-213-2026,loc35
ns80276,Marketing,jm7605,Niall.Smyth@openptk.com,Smyth,Niall,303-142-9785,loc36
cs28577,Customer Relations,gm84036,Christina.Stokes@openptk.com,Stokes,Christina,303-635-9055,loc37
ds3636,Information Systems,rb5068,David.Stokes@openptk.com,Stokes,David,303-741-1909,loc38
js12952,Marketing,jm7605,Jacqueline.Sweeney@openptk.com,Sweeney,Jacqueline,303-328-4618,loc39
ns2520,Corporate Workplace,nc6214,Noel.Sweeney@openptk.com,Sweeney,Noel,303-184-3715,loc30
cs24136,Customer Relations,gm84036,Catherine.Swift@openptk.com,Swift,Catherine,303-129-2027,loc31
lt15595,Sales,aw89027,Laura.Tangney@openptk.com,Tangney,Laura,303-787-5305,loc32
lt5238,IT Compliance,rh6300,Lian.Hong.Tay@openptk.com,Tay,Lian Hong,303-870-0712,loc33
lt10899,Services,lh9189,Luke.Thomas@openptk.com,Thomas,Luke,303-481-1510,loc32
at11576,IT Compliance,rh6300,Andreas.Thommen@openptk.com,Thommen,Andreas,303-772-5824,loc33
bt63994,Services,lh9189,Bruce.Thomson@openptk.com,Thomson,Bruce,303-534-8084,loc36
ct10449,Credit,fm50746,Claire.Thuillet@openptk.com,Thuillet,Claire,303-379-6071,loc37
mt6393,Credit,fm50746,Monika.Tiak@openptk.com,Tiak,Monika,303-458-6207,loc38
lt20086,Customer Service,dl9637,Laura.Tighe@openptk.com,Tighe,Laura,303-679-1510,loc39
at11653,Procurement,lm31932,Adrian.Toner@openptk.com,Toner,Adrian,303-913-8450,loc30
lt61919,Corporate Workplace,lr11655,Lorraine.Toner@openptk.com,Toner,Lorraine,303-190-8603,loc31
st82921,Customer Relations,gm84036,Scott.Townsend@openptk.com,Townsend,Scott,303-821-7748,loc35
ot83556,Procurement,lm31932,Owen.Travers@openptk.com,Travers,Owen,303-577-5809,loc32
vt19743,Benefits,dm11050,Valerie.Traynor@openptk.com,Traynor,Valerie,303-100-8451,loc33
nt85175,Marketing,jm7605,Natasha.Treacy@openptk.com,Treacy,Natasha,303-986-2667,loc34
ct50325,Credit,fm50746,Clara.Treanor@openptk.com,Treanor,Clara,303-121-8818,loc35
bt14161,Services,cg14655,Brendan.Trears@openptk.com,Trears,Brendan,303-765-7869,loc36
st6260,Investment Banking,sh9168,Suzanne.Tyndall@openptk.com,Tyndall,Suzanne,303-383-5529,loc37
st30413,Customer Service,dl9637,Sandra.Tyrrell@openptk.com,Tyrrell,Sandra,303-737-8493,loc38
st86011,Marketing,jm7605,Stephen.Tyrrell@openptk.com,Tyrrell,Stephen,303-661-2043,loc39
vv5567,Investment Banking,sh9168,Vera.Vavrova@openptk.com,Vavrova,Vera,303-767-4304,loc30
lv6069,Customer Relations,lj39201,Luca.Villanti@openptk.com,Villanti,Luca,303-851-4763,loc31
nv13974,Credit,fm50746,Naoki.Villemagne@openptk.com,Villemagne,Naoki,303-742-7975,loc32
ww6678,Services,lh9189,William.Waite@openptk.com,Waite,William,303-176-2488,loc33
nw14183,Services,cg14655,Nazish.Wali@openptk.com,Wali,Nazish,303-542-3489,loc34
aw17927,Sales,aw89027,Aisling.Walsh@openptk.com,Walsh,Aisling,303-146-3535,loc35
fw3914,Marketing,jm7605,Fiona.Walsh@openptk.com,Walsh,Fiona,303-187-0877,loc37
jw1819,Customer Service,dl9637,Janet.Walsh@openptk.com,Walsh,Janet,303-789-1841,loc36
aw3061,Corporate Workplace,gm51383,Angela.Ward@openptk.com,Ward,Angela,303-687-6906,loc38
ew58570,Investment Banking,sh9168,Edward.Ward@openptk.com,Ward,Edward,303-521-0518,loc39
jw4617,Services,lh9189,John.Ward@openptk.com,Ward,John,303-269-2690,loc30
pw9578,Marketing,jm7605,Pearl.Wardell@openptk.com,Wardell,Pearl,303-620-7014,loc31
mw18154,Services,cg14655,Michelle.Waterton@openptk.com,Waterton,Michelle,303-854-8636,loc32
tw68790,Credit,fm50746,Tushina.Weeramanthri@openptk.com,Weeramanthri,Tushina,303-939-4048,loc33
jw38518,Marketing,jm7605,James.Wehrley@openptk.com,Wehrley,James,303-687-7036,loc34
iw6384,Credit,fm50746,Ian.Whiston@openptk.com,Whiston,Ian,303-933-8745,loc35
bw18851,Corporate Workplace,dc30939,Billy.Whyte@openptk.com,Whyte,Billy,303-579-9067,loc36
lw15281,Services,cg14655,Lee.Wilkinson@openptk.com,Wilkinson,Lee,303-552-9647,loc37
aw89027,Sales,ja1324,Alan.Williams@openptk.com,Williams,Alan,303-155-8694,loc38
sw81127,Procurement,lm31932,Steven.Williams@openptk.com,Williams,Steven,303-673-5362,loc39
dw15203,Services,cg14655,Danielle.Willkomm@openptk.com,Willkomm,Danielle,303-428-2101,loc30
sw94261,Marketing,jm7605,Sinead.Wolfe@openptk.com,Wolfe,Sinead,303-128-0889,loc31
uw1786,Services,lh9189,Ursula.Wood@openptk.com,Wood,Ursula,303-707-4662,loc32
dw6140,Corporate Workplace,nc6214,Darren.Woods@openptk.com,Woods,Darren,303-585-6481,loc33
tw6388,Credit,fm50746,Tadeusz.Woroniecki@openptk.com,Woroniecki,Tadeusz,303-556-1558,loc34
